,zinc_id,smiles,e
0,ZINC000245189325,O=P(=O)O,-1.6437338848205472
1,ZINC000029747110,COc1cccc2c1[C@@H]1CN(CCCCn3c(O)nc4c(sc5ncc(-c6ccccc6)nc54)c3=O)C[C@@H]1CO2,-0.09062453937589582
2,ZINC000137550338,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)[C@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@H]1C2=O,2.7307748209868965
3,ZINC000137550409,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)[C@@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@@H]1C2=O,0.24798748325298248
4,ZINC000137550489,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)[C@@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@H]1C2=O,-0.07879486369875459
5,ZINC000005161047,Cc1ccc2c(n1)Oc1ccc([C@@H](C)C(=O)OCC(=O)N(C)C)cc1C2,1.8547161691331637
6,ZINC000137550260,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)[C@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@@H]1C2=O,-0.5652648691668664
7,ZINC000020621755,CCOc1cc(N)c(Cl)cc1C(=O)NC[C@@H]1CN(Cc2ccc(F)cc2)CCO1,-0.0031129375181408385
8,ZINC000020621758,CCOc1cc(N)c(Cl)cc1C(=O)NC[C@H]1CN(Cc2ccc(F)cc2)CCO1,-1.7845677411950531
9,ZINC000035645588,CC(=O)C(=Cc1cc(O)c(O)c([N+](=O)[O-])c1)C(C)=O,-0.30278790418484725
10,ZINC000085994848,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,-1.024754173209818
11,ZINC000004217444,O=C(O)[C@@H]1C[C@H](CP(=O)(O)O)CCN1,0.34662165540016143
12,ZINC000000003189,Clc1ccc([C@]23CNC[C@H]2C3)cc1Cl,0.13613250607801144
13,ZINC000004216433,CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,-1.251767199776739
14,ZINC000003830976,CC[C@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,-0.7114433279961143
15,ZINC000002019973,CCOC(=O)c1cc(NC(=O)c2cccs2)ccc1OC[C@@H](O)CNC(C)(C)C,0.044262191783033304
16,ZINC000000527387,Fc1ccc([C@@H]2CCNC[C@@H]2COc2ccc3c(c2)OCO3)cc1,-2.2383098943863047
17,ZINC000000537908,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,-0.07165257065382366
